AMI,ARI,FM,Average
0.560907404,0.416084188,0.49086466,0.489285417
0.549870667,0.362203281,0.438422784,0.450165577
0.544873612,0.356103204,0.431265068,0.444080628
0.523236087,0.331812539,0.409060696,0.421369774
0.504967926,0.304739474,0.384236949,0.39798145
0.489119438,0.317080119,0.404988791,0.403729449
0.50356876,0.323656316,0.402403244,0.409876107
0.582937551,0.403480938,0.488774646,0.491731045
0.584506956,0.471319539,0.538065948,0.531297481
0.65085269,0.60688806,0.66370289,0.640481213
0.660344523,0.558878405,0.61413026,0.611117729
0.624270482,0.454588545,0.520277268,0.533045432
0.563186259,0.411904915,0.484335185,0.486475453
0.598481943,0.437003891,0.506807101,0.514097645
0.581542991,0.462286294,0.53277209,0.525533792
0.57528415,0.479402257,0.54244459,0.532376999
0.605387607,0.45466024,0.520340839,0.526796228
0.574088493,0.47758687,0.541008611,0.530894658
0.635651605,0.597056145,0.671493519,0.634733756
0.760046156,0.689136189,0.744653277,0.731278541
0.630906317,0.505618425,0.567624634,0.568049792
0.549036008,0.4113365,0.50252202,0.487631509
0.630971583,0.458859607,0.563158349,0.550996513
0.629012993,0.572588076,0.639361505,0.613654192
0.62647823,0.534558115,0.610249536,0.590428627
0.560907404,0.416084188,0.49086466,0.489285417
0.549870667,0.362203281,0.438422784,0.450165577
0.544873612,0.356103204,0.431265068,0.444080628
0.522757264,0.336031089,0.413894881,0.424227745
0.489083825,0.322950794,0.401831232,0.40462195
0.533324919,0.447124093,0.513952583,0.498133865
0.565260879,0.372618299,0.453817892,0.463899023
0.582937551,0.403480938,0.488774646,0.491731045
0.566378267,0.413956937,0.488503638,0.489612947
0.65085269,0.60688806,0.66370289,0.640481213
0.660344523,0.558878405,0.61413026,0.611117729
0.624270482,0.454588545,0.520277268,0.533045432
0.548399166,0.354681158,0.430225211,0.444435178
0.589153979,0.401678495,0.472893213,0.487908562
0.604500779,0.514754149,0.574411029,0.564555319
0.595141401,0.515274844,0.574440896,0.561619047
0.605387607,0.45466024,0.520340839,0.526796228
0.551896232,0.438225245,0.506030126,0.498717201
0.635651605,0.597056145,0.671493519,0.634733756
0.760046156,0.689136189,0.744653277,0.731278541
0.630906317,0.505618425,0.567624634,0.568049792
0.574866947,0.438877161,0.509421122,0.507721743
0.654349574,0.479107946,0.558318541,0.563925354
0.560907404,0.416084188,0.49086466,0.489285417
0.549870667,0.362203281,0.438422784,0.450165577
0.544873612,0.356103204,0.431265068,0.444080628
0.522757264,0.336031089,0.413894881,0.424227745
0.521207198,0.33702234,0.416637833,0.42495579
0.553633727,0.454859625,0.524841073,0.511111475
0.58603441,0.380349043,0.466849875,0.477744443
0.608805847,0.522648713,0.587360531,0.572938364
0.560975531,0.419914284,0.490316632,0.490402149
0.65085269,0.60688806,0.66370289,0.640481213
0.660344523,0.558878405,0.61413026,0.611117729
0.624270482,0.454588545,0.520277268,0.533045432
0.548399166,0.354681158,0.430225211,0.444435178
0.582646754,0.393231114,0.467748695,0.481208854
0.597165123,0.473712664,0.537353869,0.536077219
0.598128768,0.505267904,0.567251716,0.556882796
0.647844278,0.62238261,0.669383467,0.646536785
0.556399531,0.432947172,0.501913935,0.497086879
0.635651605,0.597056145,0.671493519,0.634733756
0.760046156,0.689136189,0.744653277,0.731278541
0.630906317,0.505618425,0.567624634,0.568049792
0.574866947,0.438877161,0.509421122,0.507721743
