;grid=15x15:extent=(31.5000,-31.5000,-31.5000,31.5000):X_lbl=p_y:Y_lbl=p_x
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,  LaserRf,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB,  X3_ROI1,  X3_ROI2,  X3_ROI3,  X3_ROI4,  X3_ROI5,  X3_ROI6,  X3_ROI7,  X3_ROI8
    5,         9,     -31.5,   60.000,  4930379, 15395400,     2846,        0, 40560266,        0,        0,        0, 64.032446,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 10789.769,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   268356,    25768,   127009,   122737,        0,        0,        0,        0
    6,       4.5,     -31.5,   60.000,  4947023, 15394987,     9255,        0, 40531794,        0,        0,        0, 63.919526,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 10855.52,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   266609,    26320,   124798,   120551,        0,        0,        0,        0
    7,         0,     -31.5,   60.000,  4929728, 15366577,     1362,        0, 40504225,        0,        0,        0, 64.051743,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 10921.543,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   259404,    26879,   118399,   114362,        0,        0,        0,        0
    8,      -4.5,     -31.5,   60.000,  4905796, 15351821,      997,        0, 40552529,        0,        0,        0, 63.889248,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 10987.35,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   253524,    27641,   113558,   109397,        0,        0,        0,        0
    9,        -9,     -31.5,   60.000,  4886298, 15302729,    10755,        0, 40513294,        0,        0,        0, 63.927563,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11053.124,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   246528,    27555,   107790,   104070,        0,        0,        0,        0
   18,        18,       -27,   60.000,  4933721, 15396598,     5135,        0, 40592627,        0,        0,        0, 63.92187,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11121.504,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   289223,    24645,   145853,   140725,        0,        0,        0,        0
   19,      13.5,       -27,   60.000,  4937460, 15389906,     5377,        0, 40565497,        0,        0,        0, 64.064084,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11187.66,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   287254,    25534,   142990,   137920,        0,        0,        0,        0
   20,         9,       -27,   60.000,  4915091, 15341888,    12837,        0, 40553721,        0,        0,        0, 64.157582,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11253.91,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   282902,    27008,   137990,   133139,        0,        0,        0,        0
   21,       4.5,       -27,   60.000,  4898988, 15288272,     6120,        0, 40530537,        0,        0,        0, 64.049818,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11319.769,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   278558,    27404,   133680,   128953,        0,        0,        0,        0
   22,         0,       -27,   60.000,  4907843, 15321891,     4756,        0, 40519768,        0,        0,        0, 63.886614,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11385.462,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   272123,    28076,   128734,   124278,        0,        0,        0,        0
   23,      -4.5,       -27,   60.000,  4939247, 15395134,     4622,        0, 40546955,        0,        0,        0, 63.801286,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11451.134,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   267815,    28933,   123379,   118974,        0,        0,        0,        0
   24,        -9,       -27,   60.000,  4926697, 15328809,     3978,        0, 40614895,        0,        0,        0, 63.971504,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11517.167,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   261485,    29111,   118418,   114077,        0,        0,        0,        0
   25,     -13.5,       -27,   60.000,  4912627, 15158967,    10985,        0, 40643299,        0,        0,        0, 64.053055,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11583.113,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   250230,    28396,   110073,   106177,        0,        0,        0,        0
   26,       -18,       -27,   60.000,  4903422, 15167370,     9087,        0, 40596394,        0,        0,        0, 64.007969,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 11648.939,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   240751,    29037,   102069,    98317,        0,        0,        0,        0
